Compute Workflow	PSE	Assay	Protocol	Date Scheduled	Work Order	Sample Full Name	# of Inputs	# of Instrument Data	Status	Executions
200489	165275682	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855725	H_VF-Kardio_103113-103113	16	16	ready	1
200490	165275683	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855725	H_VF-Kardio_103382-103382	16	16	ready	1
200491	165275685	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:33	2855725	H_VF-Kardio_103078-103063	16	16	ready	1
200495	165275813	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:36	2855725	H_VF-Kardio_103402-103402	16	16	ready	1
200496	165275836	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:38	2855725	H_VF-Kardio_103061-103061	16	16	ready	1
200499	165275904	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:40	2855725	H_VF-Kardio_143008-142873	16	16	ready	1
200501	165275943	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:42	2855725	H_VF-Kardio_104031-104031	16	16	ready	1
200503	165276042	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:44	2855725	H_VF-Kardio_160070-160070	16	16	ready	1
200504	165276050	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:44	2855725	H_VF-Kardio_102704-102704	16	16	ready	1
200507	165276079	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:46	2855725	H_VF-Kardio_160500-160500	16	16	ready	1
200509	165276191	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:48	2855725	H_VF-Kardio_104033-104033	16	16	ready	1
200510	165276192	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:48	2855725	H_VF-Kardio_160072-160070	16	16	ready	1
200515	165276236	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855725	H_VF-Kardio_102946-102946	16	16	ready	1
200518	165276258	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:50	2855725	H_VF-Kardio_103218-103218	16	16	ready	1
200520	165276286	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:52	2855725	H_VF-Kardio_102941-102941	16	16	ready	1
200524	165276335	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:54	2855725	H_VF-Kardio_103354-103354	16	16	ready	1
200525	165276337	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 11:54	2855725	H_VF-Kardio_102996-102996	16	16	ready	1
200534	165276775	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 12:04	2855725	H_VF-Kardio_103225-103219	16	16	ready	1
200543	165277099	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 12:14	2855725	H_VF-Kardio_103155-103155	16	16	ready	1
200544	165277103	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/9/18 12:14	2855725	H_VF-Kardio_103114-103114	16	16	ready	1
204693	165401044	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:16	2855725	H_VF-Kardio_104041-104041	16	16	ready	1
204699	165401255	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:30	2855725	H_VF-Kardio_160400-160400	16	16	ready	1
204700	165401260	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:30	2855725	H_VF-Kardio_103004-103004	16	16	ready	1
204701	165401366	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:33	2855725	H_VF-Kardio_104126-104126	16	16	ready	1
204702	165401371	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:34	2855725	H_VF-Kardio_160035-160035	16	16	ready	1
204708	165401570	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:36	2855725	H_VF-Kardio_104055-104055	16	16	ready	1
204709	165401572	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:36	2855725	H_VF-Kardio_104133-104133	16	16	ready	1
204712	165401597	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:38	2855725	H_VF-Kardio_104127-104127	16	16	ready	1
204713	165401599	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:38	2855725	H_VF-Kardio_104052-104031	16	16	ready	1
204717	165401635	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:41	2855725	H_VF-Kardio_103311-103311	16	16	ready	1
204718	165401639	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:41	2855725	H_VF-Kardio_102375-102375	16	16	ready	1
204719	165401642	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:41	2855725	H_VF-Kardio_102525-102525	16	16	ready	1
204725	165401774	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:46	2855725	H_VF-Kardio_103156-103156	16	16	ready	1
204731	165401850	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:52	2855725	H_VF-Kardio_104020-103383	16	16	ready	1
204733	165401854	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:52	2855725	H_VF-Kardio_270-270	16	16	ready	1
204734	165401881	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/15/18 11:54	2855725	H_VF-Kardio_103063-103063	16	16	ready	1
205309	165433527	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	2/17/18 10:06	2855725	H_VF-Kardio_103430-103381	2	11	active	0
